"","Lachnospiraceae","Ruminococcaceae","Oscillibacter","Clostridiales","Ruminococcaceae.1","Clostridiales.1","Ruminococcaceae.2","Ruminococcaceae.3","Clostridiales.2","Ruminococcaceae.4","Ruminococcaceae.5","Ruminococcaceae.6","Ruminococcaceae.7","Ruminococcaceae.8","Clostridiales.3","Clostridiales.4","Bacilli","Lactobacillus","Streptococcus","Holdemanella","Erysipelotrichaceae.bacterium","Holdemania.massiliensis","Erysipelotrichaceae","Fusobacterium","Leptotrichiaceae","Veillonellaceae","Veillonellaceae.1","Acidaminococcaceae","Firmicutes","Firmicutes.1","Clostridiales_Incertae_Sedis_XI","Ezakiella","Anaerococcus","Clostridiales.5","Parvimonas","Clostridia","Clostridiales.6","Peptoniphilaceae","Peptoniphilus","Firmicutes.2","Mogibacterium","Firmicutes.3","Peptostreptococcaceae","Alphaproteobacteria","Pseudomonas.deceptionensis.flu.et.al.","Desulfovibrionales","Succinivibrio","Pasteurellaceae","Enterobacteriaceae","Betaproteobacteria","Porphyromonadaceae","Porphyromonas","Porphyromonas.1","Porphyromonadaceae.1","Porphyromonas.2","Parabacteroides","Coprobacter","Porphyromonadaceae.2","Porphyromonadaceae.3","Bacteroidales","Alistipes","Odoribacter.splanchnicus","Butyricimonas","Bacteroidetes","Prevotella","Prevotella.1","Prevotella.2","Prevotella.bergensis","Prevotella.3","Paraprevotella","Bacteroides","Bacteroides.plebeius","Campylobacter","Collinsella.aerofaciens","Coriobacteriaceae","Actinobacteria","Coriobacteriaceae.1","Actinomycetales","Bifidobacteriaceae","Actinomycetales.1","Fastidiosipila","Saccharofermentans","Firmicutes.4","Peptococcus.niger","Clostridiales.7","Clostridium_sensu_stricto","Clostridiales.8","Howardella","Clostridium_XlVb","Lachnospiraceae.1","Lachnospiraceae.2"
"Sample-57",360,0,9,0,46,0,10,0,0,0,0,5,12,312,8,0,4,0,17,0,24,3,33,16,0,244,0,93,0,0,12,4,4,50,0,2,4,10,0,0,0,3,24,0,0,28,0,0,1,102,0,1,0,0,5,1,0,0,0,286,0,41,16,0,0,16,33,0,0,0,3362,0,0,0,1,1,1,1,14,2,0,0,0,0,0,0,9,0,0,13,1190
"Sample-60",4,0,8,9,6,0,1,1,0,0,0,0,44,23,0,0,16,0,37,0,1,0,13,38,1,125,0,0,3,0,36,249,38,234,0,76,14,75,0,0,0,15,15,0,0,2,0,0,1278,5,0,57,0,59,32,296,2,14,2,18,4,21,12,0,0,112,374,7,8,1,3772,0,57,0,7,0,0,2,8,174,0,1,5,0,1,0,0,1,0,1,642
"Sample-62",35,11,11,85,14,0,19,5,0,0,1,3,24,164,0,0,0,2,22,0,0,0,5,0,2800,207,17,51,1,0,60,424,66,1,1,0,10,299,0,0,0,8,202,0,0,52,0,0,279,10,0,114,1,0,571,45,4,0,0,10,0,17,6,0,0,1279,379,0,0,1,918,17,0,0,8,2,0,17,116,55,0,0,0,0,0,0,16,3,0,0,114
"Sample-63",67,0,28,5,36,0,2,0,0,0,0,2,684,203,0,0,27,267,999,0,0,0,0,80,1,595,18,0,0,0,40,1,24,3,4,10,4,93,0,0,0,5,60,0,0,0,0,0,977,374,0,1,2,0,1,292,0,70,0,49,2,18,0,0,0,912,125,0,4,311,1274,0,104,0,0,2,2,18,72,82,0,0,0,0,0,0,29,3,2,11,922
"Sample-66",15,1,6,12,7,0,1,0,0,1,0,0,7,75,0,0,9,0,117,0,0,0,0,270,2,373,1,47,0,0,147,1816,260,1531,1,98,49,582,0,0,5,62,28,1,0,31,0,0,8,7,0,869,0,0,287,34,1,11,8,78,0,19,2,0,0,367,124,3,349,0,571,0,165,0,5,0,0,23,4,58,2,0,0,3,0,0,16,1,0,0,77
"Sample-67",177,21,156,39,256,0,15,1,0,7,1,22,100,409,2,3,11,23,70,0,8,0,1,43,1,110,17,94,19,0,8,3,35,40,0,0,7,52,2,20,0,13,109,0,0,96,0,1,22,539,4,2,16,25,69,322,0,6,0,5,9,21,27,1,0,1686,51,1,166,0,2008,0,31,0,19,11,7,1,83,16,0,9,1,3,0,0,4,1,0,2,1674
"Sample-72",1143,0,7,7,18,0,0,0,0,0,1,40,497,1187,39,0,32,10,28,0,0,0,6,1,288,111,18,55,6,0,113,28,51,109,24,12,46,179,0,30,0,15,153,0,0,2,1,8,10,103,6,7,54,24,80,146,0,4,9,5,0,1,0,0,0,217,370,3,28,0,750,0,64,0,19,6,1,38,173,20,2,3,0,5,0,8,0,3,26,47,1854
"Sample-73",346,25,14,108,20,0,44,0,142,0,0,55,7,1016,0,0,4,0,46,11,0,0,12,2,0,1,0,193,74,0,1,0,1,23,0,0,0,1,0,0,0,17,10,0,0,27,0,1,22,29,0,1,2,0,2,74,1,0,1,87,1,11,18,0,3,34,8,0,4774,67,308,0,0,17,0,16,11,0,107,2,0,0,0,0,0,1,21,7,0,34,1425
"Sample-75",3,0,0,0,2,0,0,0,0,0,0,1,110,29,0,0,567,0,4324,0,0,3,0,37,6,25,22,0,1,0,60,4,9,8,1433,0,2,42,0,0,0,1,275,0,0,0,0,112,511,7,0,3,0,0,0,26,0,0,0,2,0,0,1,0,0,57,7,0,1,0,215,2,4,3,1,0,0,11,2,9,0,0,0,0,0,0,0,0,0,0,22
"Sample-76",376,16,12,37,90,0,205,0,26,1,6,28,206,1172,0,16,2,0,29,0,1,0,1,0,0,131,3,0,33,0,35,0,47,1,2,0,11,37,0,0,0,12,6,0,0,21,217,0,56,33,0,1,1,0,0,168,3,66,0,304,4,39,6,0,0,225,1,0,1,70,2641,0,0,0,14,5,7,1,69,8,0,0,6,0,0,0,18,0,23,16,1559
"Sample-78",28,1,0,33,9,0,10,0,6,13,0,2,34,34,1,0,52,1,16,0,0,0,5,1,6,52,0,8,0,0,271,14,177,36,4,81,74,182,0,0,0,4,9,0,1,0,1,2,21,4,0,38,1,1,6,11,0,0,0,3,0,0,0,0,0,27,112,0,24,1,57,0,7,0,7,0,0,181,69,108,7,0,2,0,0,1,0,0,1,4,170
"Sample-81",32,0,5,40,13,0,11,2,11,0,0,2,24,100,0,2,89,74,44,0,0,0,0,201,0,298,0,39,2,0,208,118,196,524,2,75,107,584,5,0,2,91,88,2,0,13,0,0,46,56,7,316,33,0,129,20,1,0,0,20,1,4,2,1,0,1389,53,15,25,1,79,0,462,7,4,0,0,164,14,118,1,0,0,0,0,0,3,0,0,11,126
"Sample-82",385,7,13,8,30,0,5,0,0,0,0,33,87,513,2,3,4,0,18,10,0,0,8,6,1,13,0,1,5,0,14,0,8,8,7,1,1,19,0,0,0,4,5,0,1,3,0,0,765,180,0,3,0,0,1,140,0,2,0,3,1,0,2,0,0,32,7,0,0,0,1149,1,8,55,6,6,1,16,1351,9,0,0,0,0,0,3,4,0,2,11,1360
"Sample-84",153,15,1,82,14,0,14,0,9,3,0,3,186,324,17,11,29,0,630,1,0,0,2,24,1,21,0,34,20,4,65,0,128,1,491,2,7,151,0,0,0,14,88,2,2,7,0,0,559,130,0,0,0,0,8,95,2,19,0,69,3,0,7,0,0,682,52,0,348,4,2278,0,1,39,9,1,1,3,134,25,0,0,0,0,0,53,9,4,0,6,436
"Sample-86",213,37,4,523,36,2,17,0,108,7,0,8,200,385,0,30,17,0,36,2,0,0,2,25,4,25,0,183,32,0,70,96,34,294,0,42,21,106,2,73,0,79,31,0,0,25,0,0,118,76,3,92,215,0,48,39,0,0,0,38,0,13,18,8,3,157,168,0,1293,1,438,1,34,12,6,2,9,34,31,20,1,0,1,3,0,24,34,11,0,255,752
"Sample-87",181,7,11,174,48,0,44,0,25,0,1,2,42,239,0,1,23,0,24,0,0,0,1,57,1,56,0,64,6,0,66,267,153,2,2,24,24,339,0,69,2,112,60,0,0,17,0,0,181,242,0,50,23,0,262,69,0,37,0,125,4,35,5,7,0,911,296,4,10,39,1491,0,512,21,1,12,0,58,251,39,0,0,2,5,0,2,79,9,0,7,449
"Sample-89",955,5,0,85,50,1,167,0,68,1,0,22,491,2085,7,0,0,0,5,0,0,2,0,1,0,0,0,108,2,0,5,0,3,1,1,0,1,5,0,0,0,17,4,0,0,4,0,0,25,92,0,2,0,0,8,152,6,71,0,235,4,33,7,0,0,4,1,0,3,1,1157,733,0,0,10,1,8,2,49,1,0,0,4,0,1,0,30,0,0,96,1286
"Sample-91",146,2,2,9,25,0,8,0,1,0,1,3,68,527,8,28,117,61,181,0,0,0,0,130,1,505,0,1,10,0,51,15,159,988,0,209,58,270,0,0,0,60,35,0,0,7,0,0,771,28,0,166,33,0,357,72,0,32,0,141,3,14,9,0,0,1375,361,38,1,0,247,0,177,1,11,2,0,29,3,83,0,0,1,1,0,1,27,2,0,0,348
"Sample-92",5,0,2,2,9,0,0,0,1,0,1,0,117,110,0,0,376,3,36,0,1,0,0,65,3003,131,0,4,0,0,37,7,41,0,165,1,3,48,0,2,0,4,370,0,1,7,0,1,811,7,0,0,0,5,8,68,0,2,1,5,0,4,0,0,1,1365,102,0,5,0,495,1,6,3,36,0,43,6,237,6,0,0,0,0,0,0,0,4,0,0,26
"Sample-93",180,44,10,102,9,0,63,0,13,0,0,15,17,418,7,52,0,0,3,3,0,0,0,0,0,4,0,55,17,3,11,0,2,10,0,1,0,3,0,0,0,1,2,2,0,27,0,1,2971,241,0,0,0,0,0,88,1,7,0,21,0,13,22,0,0,2,0,0,777,20,1332,13,1,5,1,0,4,3,96,1,0,0,1,0,0,10,12,6,0,9,618
"Sample-98",151,5,12,98,38,2,30,1,23,0,3,7,116,304,8,1,20,0,4,0,0,0,1,0,0,14,2,0,10,2,11,24,19,13,2,9,2,18,9,2,0,16,8,0,0,13,0,0,3184,0,0,29,18,0,46,130,14,47,2,69,1,1,13,0,0,0,28,0,1,2,1250,0,13,8,1,18,0,2,19,84,0,0,7,0,1,0,6,0,0,11,312
