"","Clostridia","Firmicutes","Anaerococcus","Clostridia.1","Clostridiales","Firmicutes.1","Coriobacteriaceae","Actinobacteria","Alphaproteobacteria","Paraprevotella","Prevotella","Prevotella.1","Bacteroidetes","Bacteroides","Porphyromonadaceae","Porphyromonadaceae.1","Porphyromonadaceae.2","Bacteroidales","Bacteroidetes.1","Porphyromonadaceae.3","Porphyromonadaceae.4","Campylobacter","Desulfovibrionales","Gammaproteobacteria","Betaproteobacteria","Veillonellaceae","Acidaminococcaceae","Erysipelotrichaceae","Erysipelotrichaceae.1","Holdemania.massiliensis","Fusobacterium","Leptotrichiaceae","Bacilli","Firmicutes.2","Ruminococcaceae","Clostridiales.1"
"Sample-57",0,0.00419710865847971,0.000621793875330328,0.0105704958806156,0.00217627856365615,0,0.000466345406497746,0.00264262397015389,0,0,0,0.00761697497279652,0,0.522617752215141,0.00077724234416291,0.000310896937665164,0,0.0444582620861185,0,0.00886056272345717,0,0,0.0043525571273123,0.000155448468832582,0.0158557438209234,0.03792942639515,0.0144567076014301,0.00512979947147521,0.00373076325198197,0.000466345406497746,0.00248717550132131,0,0.00326441784548422,0,0.0484999222757656,0.258355355199751
"Sample-60",0.000868809730668983,0.00372347027429564,0.00471639568077448,0.0738488271068636,0.0110462951470771,0,0.000868809730668983,0.0228372843490133,0,0.000124115675809855,0,0.0621819535807372,0,0.468164329154772,0.0112945264986968,0.0438128335608787,0,0.00273054486781681,0,0.00409581730172521,0.00223408216457739,0.00707459352116172,0.00024823135161971,0.158619833684994,0.000620578379049274,0.0155144594762318,0,0.00161350378552811,0.000124115675809855,0,0.00471639568077448,0.000124115675809855,0.0065781308179223,0.000372347027429564,0.00285466054362666,0.0889909395556659
"Sample-62",0,0.0244698205546493,0.0076905150314612,0.0566301561407597,0.0360055931018411,0,0.00116522955022139,0.0219063155441622,0,0.000116522955022139,0,0.193195059426707,0,0.1089489629457,0.0666511302726637,0.0185271498485202,0,0.00116522955022139,0,0.00268002796550921,0.000466091820088557,0,0.00605919366115125,0.0325099044511769,0.00116522955022139,0.0261011419249592,0.00594267070612911,0.000582614775110697,0,0,0,0.32626427406199,0.00279655092053134,0.000116522955022139,0.0191097646236309,0.0397343276625495
"Sample-63",0,0.00728862973760933,0.00269118636465575,0.0065037003812514,0.010876878223817,0,0.000448531060775959,0.0192868356133662,0,0.0348732899753308,0,0.116730208566943,0.00011213276519399,0.142857142857143,0.000336398295581969,0.032854900201839,0,0.00571877102489347,0,0.00201838977349181,0.00784929356357928,0.0116618075801749,0,0.109553711594528,0.0419376541825521,0.0687373850639157,0,0,0,0,0.00897062121551918,0.00011213276519399,0.144987665395829,0,0.0227629513343799,0.200829782462436
"Sample-66",0.000576103237700196,0.0109459615163037,0.0299573683604102,0.413987786611361,0.0727042285977647,0,0.000576103237700196,0.00979375504090333,0.000115220647540039,0,0,0.097131005876253,0.00368706072128125,0.0657909897453624,0.0330683258439912,0.104044244728655,0,0.00898721050812306,0,0.00241963359834082,0.00230441295080078,0.0190114068441065,0.00357184007374121,0.000921765180320313,0.000806544532780274,0.0430925221799747,0.00541537043438184,0,0,0,0.0311095748358106,0.000230441295080078,0.0145178015900449,0,0.00864154856550294,0.0165917732457656
"Sample-67",0.00147158705003396,0.0138102784695495,0.00396196513470681,0.00577314919628707,0.00690513923477473,0.00226398007697532,0.00418836314240435,0.0113199003848766,0,0,0,0.215530903328051,0,0.227303599728322,0.0124518904233643,0.0366764772470002,0.000452796015395065,0.00158478605388273,0.000113199003848766,0.00543355218474077,0.000679194023092597,0.00350916911931175,0.0108671043694815,0.00260357708852162,0.0610142630744849,0.0143762734887933,0.010640706361784,0.000113199003848766,0.000905592030790129,0,0.00486755716549694,0.000113199003848766,0.0117726964002717,0.00215078107312656,0.0462983925741454,0.280846728548789
"Sample-72",0.0021551724137931,0.0201149425287356,0.00610632183908046,0.0342432950191571,0.0269396551724138,0.00359195402298851,0.00311302681992337,0.0276580459770115,0,0,0,0.0739942528735632,0.000119731800766284,0.0897988505747126,0.0189176245210728,0.0183189655172414,0.000718390804597701,0.000598659003831418,0,0.000119731800766284,0.00155651340996169,0.00766283524904215,0.000239463601532567,0.00227490421455939,0.0123323754789272,0.0154454022988506,0.00658524904214559,0.000718390804597701,0,0,0.000119731800766284,0.0344827586206897,0.00838122605363985,0.000718390804597701,0.142121647509579,0.440852490421456
"Sample-73",0.000107688994184794,0.00290760284298945,0.000107688994184794,0.00258453586043506,0.000107688994184794,0,0.00473831574413095,0.0117381003661426,0,0.00721516261038122,0.000323066982554383,0.518630195993969,0.000107688994184794,0.0331682102089167,0.000430755976739177,0.00807667456385957,0,0.0094766314882619,0,0.00312298083135904,0.000215377988369589,0,0.00290760284298945,0.00247684686625027,0.00312298083135904,0.000107688994184794,0.0207839758776653,0.00129226793021753,0.00118457893603274,0,0.000215377988369589,0,0.00538444970923972,0.00796898556967478,0.109412018091751,0.242084858927418
"Sample-75",0,0.0346733668341709,0.00113065326633166,0.189070351758794,0.00552763819095477,0,0.00050251256281407,0.00276381909547739,0,0,0,0.00816582914572864,0,0.0272613065326633,0,0.00364321608040201,0,0.000251256281407035,0,0.000125628140703518,0,0.00050251256281407,0,0.0782663316582915,0.000879396984924623,0.00590452261306533,0,0,0,0.000376884422110553,0.00464824120603015,0.000753768844221105,0.614447236180905,0.000125628140703518,0.00364321608040201,0.0173366834170854
"Sample-76",0.000738461538461538,0.00221538461538462,0.00578461538461538,0.00467692307692308,0.00590769230769231,0,0.0032,0.0096,0,0.00861538461538462,0,0.0279384615384615,0,0.325046153846154,0.000123076923076923,0.0208,0,0.0379076923076923,0,0.00553846153846154,0.00849230769230769,0,0.00258461538461538,0.0336,0.00406153846153846,0.0164923076923077,0,0.000123076923076923,0.000123076923076923,0,0,0,0.00381538461538462,0.00406153846153846,0.144246153846154,0.324307692307692
"Sample-78",0.00492125984251968,0.00639763779527559,0.0871062992125984,0.199803149606299,0.125984251968504,0,0.00344488188976378,0.176181102362205,0,0.000492125984251968,0,0.0802165354330709,0.000492125984251968,0.0280511811023622,0.00393700787401575,0.0241141732283465,0,0.00147637795275591,0,0,0,0.00344488188976378,0,0.0123031496062992,0.00196850393700787,0.0255905511811024,0.00393700787401575,0.00246062992125984,0,0,0.000492125984251968,0.00295275590551181,0.0339566929133858,0,0.0167322834645669,0.153543307086614
"Sample-81",0.000162311313098523,0.0293783476708327,0.0318130173673105,0.150462587242331,0.112968673916572,0,0.00178542444408375,0.0480441486771628,0.000324622626197046,0.000162311313098523,0,0.240545366012011,0.00795325434182763,0.0128225937347833,0.0262944327219607,0.0545366012011037,0.00113617919168966,0.00340853757506898,0.000162311313098523,0.000973867878591138,0.000162311313098523,0.0749878266515176,0.0021100470702808,0.00746632040253206,0.00908943353351729,0.0483687713033598,0.0063301412108424,0,0,0,0.0326245739328031,0,0.0335984418113943,0.000324622626197046,0.0162311313098523,0.0457717902937835
"Sample-82",0.000473111496609368,0.0014193344898281,0.00126163065762498,0.00473111496609368,0.00315407664406245,0,0.0107238605898123,0.217000473111497,0,0,0,0.00615044945592178,0,0.181359407033591,0.000157703832203123,0.0225516480050465,0,0.00063081532881249,0,0.000315407664406245,0.000315407664406245,0.00126163065762498,0.000473111496609368,0.120801135467592,0.0283866897965621,0.00205014981864059,0.000157703832203123,0.00126163065762498,0.00157703832203123,0,0.000946222993218735,0.000157703832203123,0.0034694843084687,0.000788519161015613,0.0809020659202019,0.307522472796089
"Sample-84",0.00703570954467012,0.0135404221425727,0.0169919022965618,0.074206823310766,0.0209743793973185,0,0.00663746183459445,0.021505376344086,0.000265498473383778,0.000530996946767556,0,0.143634674100624,0,0.302402761184123,0.00106199389353511,0.0126111774857295,0,0.00955794504181601,0,0.000929244656843223,0.00278773397052967,0.000132749236691889,0.000929244656843223,0.0744723217841497,0.0172574007699456,0.00278773397052967,0.00451347404752423,0.000265498473383778,0.000132749236691889,0,0.00318598168060534,0.000132749236691889,0.0874817469799549,0.00318598168060534,0.043010752688172,0.127837514934289
"Sample-86",0.00428107469737231,0.0162385591969294,0.00501919102450546,0.0741068792441689,0.0190434012400354,0.0107764983761441,0.00428107469737231,0.0125479775612637,0,0.000147623265426631,0.000442869796279894,0.238854443460289,0.00693829347505167,0.0648066135222911,0.038824918807204,0.0193386477708887,0.000442869796279894,0.00560968408621199,0.00118098612341305,0.00457632122822557,0,0.00501919102450546,0.00369058163566578,0.0174195453203425,0.011219368172424,0.00369058163566578,0.0270150575730735,0.000295246530853262,0.000295246530853262,0,0.00369058163566578,0.000590493061706525,0.00782403306761146,0.0047239444936522,0.056834957189253,0.330233244759374
"Sample-87",0.00121885157096425,0.0235644637053088,0.0207204767063922,0.0488894907908992,0.049160346695558,0.00934452871072589,0.00460455037919827,0.0471289274106176,0,0.00528169014084507,0,0.165357529794149,0.000270855904658722,0.201923076923077,0.0385969664138678,0.0161159263271939,0,0.0174702058504875,0.000947995666305525,0.00541711809317443,0.00501083423618635,0.0693391115926327,0.00230227518959913,0.0245124593716143,0.0327735644637053,0.0075839653304442,0.00866738894907909,0.000135427952329361,0,0,0.00771939328277356,0.000135427952329361,0.00636511375947996,0.000812567713976165,0.0323672806067172,0.14626218851571
"Sample-89",0.000615915250061592,0.00258684405025868,0.000369549150036955,0.000862281350086228,0.00073909830007391,0,0.00234047795023405,0.00640551860064055,0,0.000123183050012318,0,0.000985464400098546,0,0.232815964523282,0.000985464400098546,0.018970189701897,0,0.0294407489529441,0,0.00492732200049273,0.00948509485094851,0,0.000492732200049273,0.00307957625030796,0.0113328406011333,0,0.0133037694013304,0,0,0.000246366100024637,0.000123183050012318,0,0.000615915250061592,0.000246366100024637,0.256836659275684,0.402069475240207
"Sample-91",0.000374064837905237,0.0118453865336658,0.0198254364089776,0.157481296758105,0.0408977556109726,0,0.00174563591022444,0.0143391521197007,0,0,0,0.221321695760599,0,0.0307980049875312,0.0486284289276808,0.0296758104738155,0,0.0179551122194514,0,0.00286783042394015,0.00399002493765586,0.022069825436409,0.000872817955112219,0.0961346633416459,0.00349127182044888,0.0629675810473816,0.000124688279301746,0,0,0,0.0162094763092269,0.000124688279301746,0.0447630922693267,0.00124688279301746,0.06571072319202,0.0845386533665835
"Sample-92",0,0.0479487179487179,0.00525641025641026,0.0269230769230769,0.00653846153846154,0.000256410256410256,0.0105128205128205,0.0319230769230769,0,0,0.000128205128205128,0.188717948717949,0,0.0635897435897436,0.00166666666666667,0.00871794871794872,0,0.000641025641025641,0,0.000512820512820513,0.000384615384615385,0.000769230769230769,0.000897435897435897,0.104230769230769,0.000897435897435897,0.0167948717948718,0.000512820512820513,0,0.000128205128205128,0,0.00833333333333333,0.385,0.0532051282051282,0,0.0141025641025641,0.0214102564102564
"Sample-93",0.00149659863945578,0.000408163265306122,0.000272108843537415,0.00299319727891156,0.000408163265306122,0,0.00136054421768707,0.0136054421768707,0.000272108843537415,0.00272108843537415,0,0.105986394557823,0,0.182993197278912,0,0.0119727891156463,0,0.00285714285714286,0,0.00476190476190476,0.00108843537414966,0.000136054421768707,0.0036734693877551,0.404353741496599,0.0327891156462585,0.00054421768707483,0.00748299319727891,0,0.000408163265306122,0,0,0,0.000408163265306122,0.00272108843537415,0.0568707482993197,0.157414965986395
"Sample-98",0.00126682501979414,0.00380047505938242,0.00300870942201108,0.00934283452098179,0.00459224069675376,0.000316706254948535,0.00427553444180523,0.0166270783847981,0,0.000316706254948535,0,0.00459224069675376,0,0.197941409342835,0.0101346001583531,0.0251781472684086,0,0.0110847189231987,0,0.00221694378463975,0.00997624703087886,0.00205859065716548,0.00205859065716548,0.504196357878068,0,0.00253365003958828,0,0.000158353127474268,0,0,0,0,0.00380047505938242,0.00190023752969121,0.0481393507521774,0.130482977038797
